Sample_ID,SOST_Expression,MKI67,Dataset
GSM540367,2.98,5.635,GSE21653
GSM540368,3.01,7.5225,GSE21653
GSM540369,2.63,6.275,GSE21653
GSM540370,2.58,5.9125,GSE21653
GSM540371,2.68,6.657500000000001,GSE21653
GSM540372,2.85,8.29,GSE21653
GSM540373,2.52,7.27,GSE21653
GSM519117,3.34131540161557,8.465551541857655,GSE20685
GSM519118,4.1558739178347,6.740029836844593,GSE20685
GSM519119,5.44015842170629,7.2593892507465245,GSE20685
GSM519120,4.37481431835371,8.678259890435577,GSE20685
GSM519121,5.86314423720289,8.80772791970014,GSE20685
GSM519122,5.21405791446877,9.292837200632263,GSE20685
GSM519123,1.86616580886151,6.821196505423588,GSE20685
GSM519124,1.54509390480403,10.736891062992676,GSE20685
GSM519125,7.26244607727059,8.862948207742814,GSE20685
GSM519126,2.97061962451583,8.425650957465805,GSE20685
GSM519127,2.81653416308083,7.810002765957376,GSE20685
GSM519128,4.33243741790785,7.429514948705062,GSE20685
GSM519129,10.5374577043198,9.126376358587486,GSE20685
GSM519130,5.1371925780017,9.5868238187094,GSE20685
GSM519131,4.77327011337099,8.432870792277622,GSE20685
GSM519132,5.23530031660726,7.08966781702609,GSE20685
GSM519133,1.71537261862073,7.956791365535018,GSE20685
GSM519134,2.44031534659443,8.58369194764367,GSE20685
GSM519135,3.24876189670507,8.4771351136419,GSE20685
GSM519136,5.57318197748057,8.59640026235139,GSE20685
GSM519137,5.81684332030677,10.5647481134844,GSE20685
GSM519138,5.37116638067162,9.188408054924375,GSE20685
GSM519139,4.30230312819164,8.830129126495978,GSE20685
GSM519140,4.26800607763388,9.165977262602077,GSE20685
GSM519141,3.45505197341391,7.958499081658642,GSE20685
GSM519142,5.13501225952224,8.452230660231592,GSE20685
GSM519143,2.31239028264675,8.58716489906054,GSE20685
GSM519144,3.17503393768164,8.248972016778705,GSE20685
GSM519145,4.14453273546501,9.128689971416229,GSE20685
GSM519146,5.31170037713141,8.115573317147717,GSE20685
GSM519147,4.06521572571456,7.684169663330152,GSE20685
GSM519148,1.03411774610654,7.244515032368055,GSE20685
GSM519149,5.20015583833718,8.94582947596597,GSE20685
GSM519150,4.63040256100227,5.10664947765646,GSE20685
GSM519151,4.43945683815072,8.868504797923304,GSE20685
GSM519152,2.46851465197071,10.193134620769484,GSE20685
GSM519153,2.11632856977384,9.664805867004166,GSE20685
GSM519154,5.42147697084583,9.342699961810403,GSE20685
GSM519155,1.0304990974482,8.72905684025047,GSE20685
GSM519156,4.6912558824948,6.444963677089155,GSE20685
GSM519157,1.14097154349001,8.014795090571413,GSE20685
GSM519158,1.99752797463402,8.174872649267765,GSE20685
GSM519159,3.85636232508387,8.719857354962848,GSE20685
GSM519160,2.81089237454721,8.168976968758093,GSE20685
GSM519161,4.6393297367713,8.84936174286764,GSE20685
GSM519162,5.01107070913765,9.475301103928372,GSE20685
GSM519163,2.99715611012335,7.460598338596908,GSE20685
GSM519164,4.44739779653592,7.80913890510109,GSE20685
GSM519165,4.46277193755433,8.899135425883237,GSE20685
GSM519166,4.0514805450139,9.172863961018258,GSE20685
GSM519167,2.05470396229304,8.742149069083858,GSE20685
GSM519168,1.97598443749075,7.68845745270082,GSE20685
GSM519169,4.5539974073436,8.000193389906675,GSE20685
GSM519170,4.26769805850766,8.995221053338579,GSE20685
GSM519171,4.24157679998914,8.799132817301594,GSE20685
GSM519172,5.21619196782139,8.875369176391475,GSE20685
GSM519173,5.25725154709538,7.924571858565693,GSE20685
GSM519174,4.32987195570277,8.430598122229153,GSE20685
GSM519175,3.32383756927147,7.717757132676008,GSE20685
GSM519176,4.59068703322123,6.4100709592039,GSE20685
GSM519177,5.52923965294047,8.882429584527747,GSE20685
GSM519178,2.33495818699107,7.248637009117885,GSE20685
GSM519179,1.82571358251024,8.815918644817575,GSE20685
GSM519180,4.1583967463877,7.842553800573368,GSE20685
GSM519181,5.56732383351838,11.0707055189861,GSE20685
GSM519182,3.83690922052573,8.410119422982408,GSE20685
GSM519183,4.46673880221263,7.017613048823695,GSE20685
GSM519184,5.21850366094827,8.68251404231744,GSE20685
GSM519185,3.25989999199063,7.758991735945902,GSE20685
GSM519186,1.92598212909079,8.576267614819546,GSE20685
GSM519187,3.30694501762331,9.521754285859434,GSE20685
GSM519188,1.59565811383189,7.092664361796203,GSE20685
GSM519189,5.43409414762879,9.04486949024724,GSE20685
GSM519190,2.37241641756208,9.028697424796189,GSE20685
GSM519191,4.81118119455072,8.827997781516235,GSE20685
GSM519192,2.31202647577195,7.861721468212277,GSE20685
GSM519193,5.08603131369571,9.238073819200512,GSE20685
GSM519194,3.98265832934639,9.81746730994769,GSE20685
GSM519195,4.31097997707045,7.03431179803335,GSE20685
GSM519196,2.66211818134839,8.739108160833794,GSE20685
GSM519197,4.70108728277384,8.589225745121437,GSE20685
GSM519198,5.72027214941017,9.604171254545555,GSE20685
GSM519199,3.4904000033694,8.811054485993207,GSE20685
GSM519200,4.81167752074987,9.1312708982043,GSE20685
GSM519201,5.2652100592049,8.630053395285698,GSE20685
GSM519202,3.04257162430104,8.680059398187062,GSE20685
GSM519203,4.37680838948271,8.135880982200884,GSE20685
GSM519204,4.16045388715626,8.499215598729176,GSE20685
GSM519205,0.481238213507986,8.347996899163135,GSE20685
GSM519206,5.48689159578682,6.633257714925607,GSE20685
GSM519207,6.35498853826694,8.055010396918131,GSE20685
GSM519208,2.88360376105699,8.00993700331026,GSE20685
GSM519209,3.16629217850539,7.599018425013313,GSE20685
GSM519210,2.73763523431713,8.541103449170208,GSE20685
GSM519211,4.36342728837902,8.240820517517353,GSE20685
GSM519212,0.733519626972419,7.94103694580167,GSE20685
GSM519213,2.65578830500618,9.446377802850291,GSE20685
GSM519214,4.483263548667,7.4644565234980575,GSE20685
GSM519215,5.54445121530406,8.699507094977282,GSE20685
GSM519216,4.7886469921456,8.990366519637654,GSE20685
GSM519217,3.64359457380008,9.419358272150522,GSE20685
GSM519218,4.86947316047549,9.671287866437742,GSE20685
GSM519219,4.53188673263207,7.532427884948742,GSE20685
GSM519220,3.09695257339286,7.707846396063813,GSE20685
GSM519221,4.96082134020132,7.952026738814562,GSE20685
GSM519222,2.01563045564704,10.14275206647646,GSE20685
GSM519223,3.00968306660228,9.107190358114863,GSE20685
GSM519224,5.58522190636736,7.94176742920922,GSE20685
GSM519225,5.09857339261877,8.79632922946648,GSE20685
GSM519226,2.88923720956309,7.471243433083733,GSE20685
GSM519227,1.16944691226496,7.967784866358761,GSE20685
GSM519228,1.87694138652638,7.620281375135267,GSE20685
GSM519229,3.58109881867901,7.943467874738483,GSE20685
GSM519230,3.96671762122863,8.342124623042555,GSE20685
GSM519231,1.97956871305626,8.665494555945681,GSE20685
GSM519232,1.92906237588496,8.806927475992254,GSE20685
GSM519233,2.91914525743773,6.543457128407928,GSE20685
GSM519234,1.28577253971119,8.340739612056304,GSE20685
GSM519235,3.7104066196634,9.613906318957463,GSE20685
GSM519236,2.00767399084506,6.989128683152957,GSE20685
GSM519237,4.01649513024909,9.56993972995346,GSE20685
GSM519238,4.82916634094504,8.398790840013218,GSE20685
GSM519239,2.61764133517526,9.397588046083072,GSE20685
GSM519240,2.32240178095637,7.491403844356893,GSE20685
GSM519241,4.87968945038018,9.237005134578176,GSE20685
GSM519242,4.007443241465,7.935052899168668,GSE20685
GSM519243,1.26798203311398,9.680962861349744,GSE20685
GSM519244,1.73717148435881,8.842128902402353,GSE20685
GSM519245,3.55193667967925,9.170736241157776,GSE20685
GSM519246,2.88948906708261,7.71917880774809,GSE20685
GSM519247,2.42737746829902,9.156215663483682,GSE20685
GSM519248,4.90725567804644,7.453384855886091,GSE20685
GSM519249,4.61670249783047,9.519950289680736,GSE20685
GSM519250,0.608081794887922,7.15066843599041,GSE20685
GSM519251,4.74431702041724,9.554788019039734,GSE20685
GSM519252,5.45817246349439,6.991036291453895,GSE20685
GSM519253,0.874547384918008,7.447571917266375,GSE20685
GSM519254,5.06750602075688,7.1314512113570245,GSE20685
GSM519255,2.76393028554313,8.343446507089553,GSE20685
GSM519256,2.06459436449271,7.415997087358713,GSE20685
GSM519257,4.64729972678301,8.922110655425255,GSE20685
GSM519258,4.71948389538525,7.853732681473673,GSE20685
GSM519259,3.54430828530361,6.878448328963063,GSE20685
GSM519260,4.76732174909232,7.64150267704758,GSE20685
GSM519261,4.84566709756374,7.913423730637847,GSE20685
GSM519262,4.55952260960699,9.02173936430345,GSE20685
GSM519263,3.42439528402576,8.806645622458369,GSE20685
GSM519264,1.77995482988438,9.731524282379247,GSE20685
GSM519265,7.76193257351711,8.70726319892665,GSE20685
GSM519266,3.04575434554789,8.406807220409048,GSE20685
GSM519267,1.69260767195013,9.166447474316556,GSE20685
GSM519268,5.6386955387994,8.613260230741139,GSE20685
GSM519269,5.4298533426604,7.383195094537635,GSE20685
GSM519270,4.54400300535701,8.9865807612966,GSE20685
GSM519271,3.99559026776784,8.074772411984698,GSE20685
GSM519272,2.39955238073397,8.859211813610496,GSE20685
GSM519273,0.45386461832955,8.832626113350226,GSE20685
GSM519274,5.38697950664187,10.092112011985126,GSE20685
GSM519275,5.46473477184568,8.188992179771144,GSE20685
GSM519276,0.87113958905504,9.192663495814449,GSE20685
GSM519277,4.58174394119171,10.105802786711124,GSE20685
GSM519278,5.71652815068512,7.901268527526351,GSE20685
GSM519279,2.20007829207265,7.978062134809594,GSE20685
GSM519280,4.0502001489917,8.410387934582316,GSE20685
GSM519281,3.68461552819503,9.7461479500801,GSE20685
GSM519282,5.39477843423717,8.804655439696571,GSE20685
GSM519283,5.18627547418205,8.609135195117675,GSE20685
GSM519284,2.43390615028534,4.433440616642605,GSE20685
GSM519285,4.64690777031057,8.82181177121983,GSE20685
GSM519286,2.32333986101236,8.362541611765973,GSE20685
GSM519287,1.82797696465818,7.924559251189553,GSE20685
GSM519288,3.32129618561377,8.738601624496361,GSE20685
GSM519289,2.39427082277232,9.117900227451685,GSE20685
GSM519290,2.56826232908224,7.781930320501347,GSE20685
GSM519291,2.49688071843869,7.622313607568483,GSE20685
GSM519292,5.10254314497257,8.537513577842638,GSE20685
GSM519293,5.37072598175349,8.481845484913201,GSE20685
GSM519294,3.992838114617,9.267284318760396,GSE20685
GSM519295,5.44956254402471,8.510776209744975,GSE20685
GSM519296,5.83938981379116,8.8585426114686,GSE20685
GSM519297,0.814436341769894,8.5033479615996,GSE20685
GSM519298,2.63147461791671,8.621109284754478,GSE20685
GSM519299,1.27502058057819,9.62861137865821,GSE20685
GSM519300,2.1491358939083,9.432952599923809,GSE20685
GSM519301,2.39748560355351,10.667693026451726,GSE20685
GSM519302,4.39071931012659,8.871671519175703,GSE20685
GSM519303,4.37972292397911,9.96980660163453,GSE20685
GSM519304,3.61496931361571,10.218082366782465,GSE20685
GSM519305,5.32321291850499,8.375911994405282,GSE20685
GSM519306,3.6711850878296,8.25139097486729,GSE20685
GSM519307,1.82738473997397,7.816902040542541,GSE20685
GSM519308,4.91608821626313,8.061464504837447,GSE20685
GSM519309,3.85528072847634,6.965171167873848,GSE20685
GSM519310,1.64637785188274,8.699252660116633,GSE20685
GSM519311,5.35442077725387,7.069357663249392,GSE20685
GSM519312,1.30163738149893,9.400900151220736,GSE20685
GSM519313,2.93454323474737,8.971079461264878,GSE20685
GSM519314,4.12240008200782,8.54109080536977,GSE20685
GSM519315,5.11775303964402,9.36793260604285,GSE20685
GSM519316,1.50383739095526,7.033541171427415,GSE20685
GSM519317,1.07328839012894,8.332845453674842,GSE20685
GSM519318,5.00086191503283,8.940765498318758,GSE20685
GSM519319,2.7289251088599,7.648278971451628,GSE20685
GSM519320,4.93372481076495,7.705868974078502,GSE20685
GSM519321,5.89623754620707,9.107180547977482,GSE20685
GSM519322,5.01027312015917,8.458796768336896,GSE20685
GSM519323,1.09291319753677,6.535771006558065,GSE20685
GSM519324,3.90065340307593,8.407351890529604,GSE20685
GSM519325,4.19485567256666,8.392097547144765,GSE20685
GSM519326,1.84942393851689,7.078304225520737,GSE20685
GSM519327,5.39170988498541,9.479863902071584,GSE20685
GSM519328,2.10688622395585,8.207403199541602,GSE20685
GSM519329,5.30816500975966,9.26583708732393,GSE20685
GSM519330,4.91626098131343,7.877302875380407,GSE20685
GSM519331,2.66301123485772,8.445206593658302,GSE20685
GSM519332,4.4460338671686,9.753859253454252,GSE20685
GSM519333,5.66129267051612,10.494739874772575,GSE20685
GSM519334,5.20491627818901,8.113879637565574,GSE20685
GSM519335,4.60807712100448,8.65972273325119,GSE20685
GSM519336,3.80208550640847,7.95345660600279,GSE20685
GSM519337,5.93277909014386,8.678097614036387,GSE20685
GSM519338,4.33654181469494,7.718368402274096,GSE20685
GSM519339,5.94684472074978,8.747369985816425,GSE20685
